pk,language,market,account,account_id
04cd7c8aa5f6745e37533338b5dfe2cf,nor,no,NORD CENTRAL EU,887-560-8605
713e8511a7a259cbc16fbb4a3228605e,eng,pt,PT,369-499-6243
d317fb51733896e169f8760b0728a3b1,swe,se,NORD CENTRAL EU,887-560-8605
a43745e1b963c6d845d250467c60011f,eng,th,ASIA,854-934-9749
8952432eabd685e0391915410d17e5f5,ukr,ua,RU UA,776-577-8248
3d7562bb556178e589b0a7e04c7c64aa,eng,us,EN,690-902-8442
0884777f484ea18b1e2af8cd5dfda20b,dan,ww,WW LANGUAGES,605-724-1232
86c20c75c83b757911c200d845b75e32,swe,ww,WW LANGUAGES,605-724-1232
3f9a39794999ac1614762bda4776ee16,tur,ww,WW LANGUAGES,605-724-1232
90f3a7734a73dc483d71968d46735729,ind,ww,WW LANGUAGES,605-724-1232
8af3f6e509217e1ba0c468b33f93e350,eng,se,NORD CENTRAL EU,887-560-8605
1dcacbda0c9d9e9395cd18d39230ca85,ger,ch,DACH NL,475-645-9000
32cd33e53ac1b67ed1d31c7b392d1ee4,eng,chl-ecu-pan-pri,ES,795-735-5419
c687695ab1a626f65c4837e5121cd820,eng,es,ES,795-735-5419
4b8a355163ae3543a3834e253bda687d,eng,fr-be-lu,FR,482-963-7305
386e060c0cec281370ada19f981e09cc,gre,gr,RU UA,776-577-8248
cd9b5d817975e98d2a4f6779099d8e0c,ind,id,ASIA,854-934-9749
d17367e7275b04e3f9740be47c2e4dda,eng,il,ASIA,854-934-9749
66fa400088bfdd1641c067414f7195d6,eng,mx,ES,795-735-5419
a57c8ea60814804b12697de6e95558b0,eng,no,NORD CENTRAL EU,887-560-8605
6e1afcc68dbdd5cde49a620025970e01,eng,ph,ASIA,854-934-9749
c7e647776c39e95555446e13d8e17289,por,pt,PT,369-499-6243
0047cf5779d0fdd4666498106caa19f5,fin,ww,WW LANGUAGES,605-724-1232
a9fcfe30b712e2fa180a3be140442034,ita,ww,WW LANGUAGES,605-724-1232
c6b5b2a43e5d8d54d63957e13b29ce94,por,ww,WW LANGUAGES,605-724-1232
d94377399443ac742fb50670699e1cdf,spa,ww,WW LANGUAGES,605-724-1232
9e2690d077a896d23a7e5cf704da3bce,spa,chl-ecu-pan-pri,ES,795-735-5419
892ca7429d990cfd5691da359c17be23,eng,cz,NORD CENTRAL EU,887-560-8605
8c16791a128248d032f8a3b09ae14447,fre,fr-be-lu,FR,482-963-7305
42670579c2fb53c8145b99f373df0c53,cht,hk-sg,ASIA,854-934-9749
48538638ac9eb42781caf2c42afd9fdf,eng,id,ASIA,854-934-9749
b599fa2bb06bbf0fe85dcaa82f6eaaae,ita,it,ASIA,854-934-9749
0271a2ba7f88311a583a38691cc445c2,eng,kr,ASIA,854-934-9749
af83717edf3b26e095399ae4b0df6103,kor,kr,ASIA,854-934-9749
491aad666a4fd01fa13d044035f96d1a,spa,mx,ES,795-735-5419
f49e6321b885712d421d84cdf69d5c0c,rus,pl,IT PL,199-574-0772
02c4b68df8321ad9da1ead4c87487433,chi,ww,WW LANGUAGES,605-724-1232
ee14c248321f28f8876abbd044152508,cht,ww,WW LANGUAGES,605-724-1232
2778ddb99df78bde3878f4729a5b2f80,pol,ww,WW LANGUAGES,605-724-1232
10d1c81c240c661bc706df0bc230ea4c,chi,sg,ASIA,854-934-9749
4424b708a672cca509879bccaec9721e,tha,tha,ASIA,854-934-9749
4d0ebc2be91df440a79757e3961fdb3b,rum,ww,WW LANGUAGES,605-724-1232
9b4c90989c91335f28e3e3c06fc2ed22,jpn,ww,WW LANGUAGES,605-724-1232
9779918fcc9dbe011decd9bf1e2cebc5,heb,il,ASIA,854-934-9749
238fa6bca764f6976eabc754220f8530,eng,in,ASIA,854-934-9749
2825a06f0644e3df9b4eb4dfb6a65419,eng,nl,DACH NL,475-645-9000
abe83caff55dbf3c7f43cf6b0386cc4f,eng,jp,ASIA,854-934-9749
e44eb668252cd1963020820ef92d3602,jpn,jp,ASIA,854-934-9749
8eb2ae0c3c6f394209e3337d6a62826b,ger,ww,WW LANGUAGES,605-724-1232
434547a2bb8d781f36ade9f413b9574e,nor,ww,WW LANGUAGES,605-724-1232
cf29c86777cdb22e4bed00ddbd6ca5f3,rus,ww,WW LANGUAGES,605-724-1232
1e48bad8406421f934d693eca266663e,eng,hk-sg,ASIA,854-934-9749
